,name,smiles,inchi
1,O,[O],InChI=1S/O
2,O2,[O][O],InChI=1S/O2/c1-2
3,AR,[Ar],InChI=1S/Ar
4,H,[H],InChI=1S/H
5,HO2,[O]O,InChI=1S/HO2/c1-2/h1H
6,OH,[OH],InChI=1S/HO/h1H
7,OHV,excited[OH],EXCITED_InChI=1S/HO/h1H
8,H2,[H][H],InChI=1S/H2/h1H
9,H2O,O,InChI=1S/H2O/h1H2
10,H2O2,OO,InChI=1S/H2O2/c1-2/h1-2H
11,HE,[He],InChI=1S/He
12,NO,[N]=O,InChI=1S/NO/c1-2
13,NO2,N(=O)[O],InChI=1S/NO2/c2-1-3
14,N,[N],InChI=1S/N
15,NO3,N(=O)(=O)[O],InChI=1S/NO3/c2-1(3)4
16,HNO,N=O,InChI=1S/HNO/c1-2/h1H
17,HNO2,N1OO1,InChI=1S/HNO2/c1-2-3-1/h1H
18,HONO,N(=O)O,"InChI=1S/HNO2/c2-1-3/h(H,2,3)"
19,HONO2,N(=O)(=O)O,"InChI=1S/HNO3/c2-1(3)4/h(H,2,3,4)"
20,NH,[NH],InChI=1S/HN/h1H
21,HNOH,[NH]O,InChI=1S/H2NO/c1-2/h1-2H
22,NH2,[NH2],InChI=1S/H2N/h1H2
23,H2NO,N[O],InChI=1S/H2NO/c1-2/h1H2
24,NH2OH,NO,"InChI=1S/H3NO/c1-2/h2H,1H2"
25,NH3,N,InChI=1S/H3N/h1H3
26,N2,N#N,InChI=1S/N2/c1-2
27,N2O,[N-]=[N+]=O,InChI=1S/N2O/c1-2-3
28,NNH,N=[N],InChI=1S/HN2/c1-2/h1H
29,N2H2,N=N,InChI=1S/H2N2/c1-2/h1-2H/b2-1+
30,H2NN,N=N,InChI=1S/H2N2/c1-2/h1-2H
31,N2H3,[NH]N,"InChI=1S/H3N2/c1-2/h1H,2H2"
32,N2H4,NN,InChI=1S/H4N2/c1-2/h1-2H2
33,C,[C],InChI=1S/C
34,CO,[C]=O,InChI=1S/CO/c1-2
35,CO2,O=C=O,InChI=1S/CO2/c2-1-3
36,CH,[CH],InChI=1S/CH/h1H
37,CHV,excited[CH],EXCITED_InChI=1S/CH/h1H
38,HCO,[CH]=O,InChI=1S/CHO/c1-2/h1H
39,HOCO,[C](=O)O,"InChI=1S/CHO2/c2-1-3/h(H,2,3)"
40,O2CHO,[O]OC=O,InChI=1S/CHO3/c2-1-4-3/h1H
41,OCHO,[O]C=O,InChI=1S/CHO2/c2-1-3/h1H
42,CH2,triplet[CH2],InChI=1S/CH2/h1H2
43,CH2(S),singlet[CH2],SINGLET_InChI=1S/CH2/h1H2
44,CH2O,C=O,InChI=1S/CH2O/c1-2/h1H2
45,HCOH,singlet[CH]O,InChI=1S/CH2O/c1-2/h1-2H
46,HO2CHO,O=COO,"InChI=1S/CH2O3/c2-1-4-3/h1,3H"
47,HOCHO,O=CO,"InChI=1S/CH2O2/c2-1-3/h1H,(H,2,3)"
48,CH2O2H,[CH2]OO,"InChI=1S/CH3O2/c1-3-2/h2H,1H2"
49,CH2OH,[CH2]O,"InChI=1S/CH3O/c1-2/h2H,1H2"
50,CH3,[CH3],InChI=1S/CH3/h1H3
51,CH3O,C[O],InChI=1S/CH3O/c1-2/h1H3
52,CH3O2,CO[O],InChI=1S/CH3O2/c1-3-2/h1H3
53,HOCH2O,[O]CO,"InChI=1S/CH3O2/c2-1-3/h2H,1H2"
54,HOCH2O2,[O]OCO,"InChI=1S/CH3O3/c2-1-4-3/h2H,1H2"
55,OCH2O2H,[O]COO,"InChI=1S/CH3O3/c2-1-4-3/h3H,1H2"
56,CH3O2H,COO,"InChI=1S/CH4O2/c1-3-2/h2H,1H3"
57,CH3OH,CO,"InChI=1S/CH4O/c1-2/h2H,1H3"
58,CH4,C,InChI=1S/CH4/h1H4
59,HOCH2O2H,OCOO,"InChI=1S/CH4O3/c2-1-4-3/h2-3H,1H2"
60,CN,[C]#N,InChI=1S/CN/c1-2
61,NCO,C(#N)[O],InChI=1S/CNO/c2-1-3
62,HCN,C#N,InChI=1S/CHN/c1-2/h1H
63,HNC,[C]=N,InChI=1S/CHN/c1-2/h2H
64,HNCO,C(=N)=O,InChI=1S/CHNO/c2-1-3/h2H
65,HCNO,C#[N+][O-],InChI=1S/CHNO/c1-2-3/h1H
66,HOCN,C(#N)O,InChI=1S/CHNO/c2-1-3/h3H
67,CH2NO,[CH2]N=O,InChI=1S/CH2NO/c1-2-3/h1H2
68,H2CN,C=[N],InChI=1S/CH2N/c1-2/h1H2
69,HCNH,[CH]=N,InChI=1S/CH2N/c1-2/h1-2H
70,CH3NO,CN=O,InChI=1S/CH3NO/c1-2-3/h1H3
