,stereo-name,orig-name,ext-stereo-smiles,stereo-smiles,chi,orig-inchi,charge,mult
0,O,O,[O],[O],InChI=1S/O,InChI=1S/O,0,3
1,O2,O2,O=O,O=O,InChI=1S/O2/c1-2,InChI=1S/O2/c1-2,0,3
2,H,H,[H],[H],InChI=1S/H,InChI=1S/H,0,2
3,HO2,HO2,O[O],[O]O,InChI=1S/HO2/c1-2/h1H,InChI=1S/HO2/c1-2/h1H,0,2
4,OH,OH,[OH],[OH],InChI=1S/HO/h1H,InChI=1S/HO/h1H,0,2
5,H2,H2,[H][H],[H][H],InChI=1S/H2/h1H,InChI=1S/H2/h1H,0,1
6,H2O,H2O,O,O,InChI=1S/H2O/h1H2,InChI=1S/H2O/h1H2,0,1
7,H2O2,H2O2,OO,OO,InChI=1S/H2O2/c1-2/h1-2H,InChI=1S/H2O2/c1-2/h1-2H,0,1
8,CO,CO,[C]=O,[C]=O,InChI=1S/CO/c1-2,InChI=1S/CO/c1-2,0,1
9,HCO,HCO,[CH]=O,[CH]=O,InChI=1S/CHO/c1-2/h1H,InChI=1S/CHO/c1-2/h1H,0,2
10,O2CHO,O2CHO,O=CO[O],O=CO[O],InChI=1S/CHO3/c2-1-4-3/h1H,InChI=1S/CHO3/c2-1-4-3/h1H,0,2
11,CH2O,CH2O,C=O,C=O,InChI=1S/CH2O/c1-2/h1H2,InChI=1S/CH2O/c1-2/h1H2,0,1
12,HO2CHO,HO2CHO,O=COO,O=COO,"InChI=1S/CH2O3/c2-1-4-3/h1,3H","InChI=1S/CH2O3/c2-1-4-3/h1,3H",0,1
13,CH3,CH3,[CH3],[CH3],InChI=1S/CH3/h1H3,InChI=1S/CH3/h1H3,0,2
14,CH3O,CH3O,C[O],C[O],InChI=1S/CH3O/c1-2/h1H3,InChI=1S/CH3O/c1-2/h1H3,0,2
15,CH3O2,CH3O2,CO[O],CO[O],InChI=1S/CH3O2/c1-3-2/h1H3,InChI=1S/CH3O2/c1-3-2/h1H3,0,2
16,CH3O2H,CH3O2H,COO,COO,"InChI=1S/CH4O2/c1-3-2/h2H,1H3","InChI=1S/CH4O2/c1-3-2/h2H,1H3",0,1
17,CH3OH,CH3OH,CO,CO,"InChI=1S/CH4O/c1-2/h2H,1H3","InChI=1S/CH4O/c1-2/h2H,1H3",0,1
18,CH4,CH4,C,C,InChI=1S/CH4/h1H4,InChI=1S/CH4/h1H4,0,1
19,C2H,C2H,C#[C],[C]#C,InChI=1S/C2H/c1-2/h1H,InChI=1S/C2H/c1-2/h1H,0,2
20,C2H2,C2H2,C#C,C#C,InChI=1S/C2H2/c1-2/h1-2H,InChI=1S/C2H2/c1-2/h1-2H,0,1
21,CH2CO,CH2CO,C=C=O,C=C=O,InChI=1S/C2H2O/c1-2-3/h1H2,InChI=1S/C2H2O/c1-2-3/h1H2,0,1
