,stereo-name,orig-name,ext-stereo-smiles,stereo-smiles,chi,orig-inchi,charge,mult
0,H,H,[H],[H],InChI=1S/H,InChI=1S/H,0,2
1,H2,H2,[H][H],[H][H],InChI=1S/H2/h1H,InChI=1S/H2/h1H,0,1
2,C,C,[C],[C],InChI=1S/C,InChI=1S/C,0,1
3,CH,CH,[CH],[CH],InChI=1S/CH/h1H,InChI=1S/CH/h1H,0,2
4,CH2,CH2,[CH2],[CH2],InChI=1S/CH2/h1H2,InChI=1S/CH2/h1H2,0,3
5,CH2(S),CH2(S),[CH2],[CH2],InChI=1S/CH2/h1H2,InChI=1S/CH2/h1H2,0,1
6,CH3,CH3,[CH3],[CH3],InChI=1S/CH3/h1H3,InChI=1S/CH3/h1H3,0,2
7,CH4,CH4,C,C,InChI=1S/CH4/h1H4,InChI=1S/CH4/h1H4,0,1
8,C2,C2,[C]#[C],[C]#[C],InChI=1S/C2/c1-2,InChI=1S/C2/c1-2,0,1
9,C2H,C2H,C#[C],[C]#C,InChI=1S/C2H/c1-2/h1H,InChI=1S/C2H/c1-2/h1H,0,2
10,C2H2,C2H2,C#C,C#C,InChI=1S/C2H2/c1-2/h1-2H,InChI=1S/C2H2/c1-2/h1-2H,0,1
11,H2CC,H2CC,C=[C],[C]=C,InChI=1S/C2H2/c1-2/h1H2,InChI=1S/C2H2/c1-2/h1H2,0,1
12,C2H3,C2H3,[CH]=C,[CH]=C,"InChI=1S/C2H3/c1-2/h1H,2H2","InChI=1S/C2H3/c1-2/h1H,2H2",0,2
13,C2H4,C2H4,C=C,C=C,InChI=1S/C2H4/c1-2/h1-2H2,InChI=1S/C2H4/c1-2/h1-2H2,0,1
14,C2H5,C2H5,[CH2]C,[CH2]C,"InChI=1S/C2H5/c1-2/h1H2,2H3","InChI=1S/C2H5/c1-2/h1H2,2H3",0,2
15,C2H6,C2H6,CC,CC,InChI=1S/C2H6/c1-2/h1-2H3,InChI=1S/C2H6/c1-2/h1-2H3,0,1
16,C3H2,C3H2,C#C[CH],C#C[CH],InChI=1S/C3H2/c1-3-2/h1-2H,InChI=1S/C3H2/c1-3-2/h1-2H,0,3
17,C3H2(S),C3H2(S),C#C[CH],C#C[CH],InChI=1S/C3H2/c1-3-2/h1-2H,InChI=1S/C3H2/c1-3-2/h1-2H,0,1
18,C3H2C,C3H2C,C1=C=C1,C1=CC=1,InChI=1S/C3H2/c1-2-3-1/h1-2H,InChI=1S/C3H2/c1-2-3-1/h1-2H,0,1
19,H2CCC(S),H2CCC(S),C=C=[C],[C]#C[CH2],InChI=1S/C3H2/c1-3-2/h1H2,InChI=1S/C3H2/c1-3-2/h1H2,0,3
20,C3H3,C3H3,C#C[CH2],C#C[CH2],"InChI=1S/C3H3/c1-3-2/h1H,2H2","InChI=1S/C3H3/c1-3-2/h1H,2H2",0,2
21,C3H4-A,C3H4-A,C=C=C,C=C=C,InChI=1S/C3H4/c1-3-2/h1-2H2,InChI=1S/C3H4/c1-3-2/h1-2H2,0,1
22,C3H4-P,C3H4-P,C#CC,C#CC,"InChI=1S/C3H4/c1-3-2/h1H,2H3","InChI=1S/C3H4/c1-3-2/h1H,2H3",0,1
23,CC3H4,CC3H4,C1CC=1,C1CC=1,"InChI=1S/C3H4/c1-2-3-1/h1-2H,3H2","InChI=1S/C3H4/c1-2-3-1/h1-2H,3H2",0,1
24,C3H5-A,C3H5-A,C=C[CH2],C=C[CH2],"InChI=1S/C3H5/c1-3-2/h3H,1-2H2","InChI=1S/C3H5/c1-3-2/h3H,1-2H2",0,2
25,C3H5-S-Z,C3H5-S,[H]/[C]=C\C,[H]/[C]=C\C,"AMChI=1/C3H5/c1-3-2/h1,3H,2H3/b3-1-","InChI=1S/C3H5/c1-3-2/h1,3H,2H3",0,2
26,C3H5-S-E,C3H5-S,[H]/[C]=C/C,[H]/[C]=C/C,"AMChI=1/C3H5/c1-3-2/h1,3H,2H3/b3-1+","InChI=1S/C3H5/c1-3-2/h1,3H,2H3",0,2
27,C3H5-T,C3H5-T,C=[C]C,C=[C]C,"InChI=1S/C3H5/c1-3-2/h1H2,2H3","InChI=1S/C3H5/c1-3-2/h1H2,2H3",0,2
28,C3H6,C3H6,C=CC,C=CC,"InChI=1S/C3H6/c1-3-2/h3H,1H2,2H3","InChI=1S/C3H6/c1-3-2/h3H,1H2,2H3",0,1
29,IC3H7,IC3H7,C[CH]C,C[CH]C,"InChI=1S/C3H7/c1-3-2/h3H,1-2H3","InChI=1S/C3H7/c1-3-2/h3H,1-2H3",0,2
30,NC3H7,NC3H7,[CH2]CC,[CH2]CC,"InChI=1S/C3H7/c1-3-2/h1,3H2,2H3","InChI=1S/C3H7/c1-3-2/h1,3H2,2H3",0,2
31,C3H8,C3H8,CCC,CCC,"InChI=1S/C3H8/c1-3-2/h3H2,1-2H3","InChI=1S/C3H8/c1-3-2/h3H2,1-2H3",0,1
32,C4H2,C4H2,C#CC#C,C#CC#C,InChI=1S/C4H2/c1-3-4-2/h1-2H,InChI=1S/C4H2/c1-3-4-2/h1-2H,0,1
33,C4H3-I,C4H3-I,C#C[C]=C,C#C[C]=C,"InChI=1S/C4H3/c1-3-4-2/h1H,2H2","InChI=1S/C4H3/c1-3-4-2/h1H,2H2",0,2
34,C4H3-N-Z,C4H3-N,[H]/[C]=C\C#C,[H]/[C]=C\C#C,"AMChI=1/C4H3/c1-3-4-2/h1-2,4H/b4-2-",InChI=1S/C4H3/c1-3-4-2/h1-3H,0,2
35,C4H3-N-E,C4H3-N,[H]/[C]=C/C#C,[H]/[C]=C/C#C,"AMChI=1/C4H3/c1-3-4-2/h1-2,4H/b4-2+",InChI=1S/C4H3/c1-3-4-2/h1-3H,0,2
36,C4H4,C4H4,C#CC=C,C#CC=C,"InChI=1S/C4H4/c1-3-4-2/h1,4H,2H2","InChI=1S/C4H4/c1-3-4-2/h1,4H,2H2",0,1
